retailer_id,transaction_id,sku_id,sku_name,sku_qty,sku_price,transaction_date
RTL_00001,POS_f457022d4d51,SY_SCO_250EC,Score 250 EC,81,1539.21,2025-10-10
RTL_00001,POS_f2f5eaaaf5e4,SY_SCO_250EC,Score 250 EC,3,1644.39,2025-10-14
RTL_00001,POS_94af270ca790,SY_AXI_50EC,Axial 50 EC,1,393.85,2025-10-18
RTL_00001,POS_a6e6345ef25c,SY_AXI_50EC,Axial 50 EC,1,1257.72,2025-10-18
RTL_00001,POS_3dfd7d3a4837,SY_AXI_50EC,Axial 50 EC,1,1028.55,2025-10-16
RTL_00001,POS_19f63f1b48f9,SY_SCO_250EC,Score 250 EC,18,1082.73,2025-10-23
RTL_00001,POS_4afa6a448031,SY_AXI_50EC,Axial 50 EC,7,1271.9,2025-10-22
RTL_00001,POS_a1756ff9eac8,SY_TILT_250EC,Tilt 250 EC,7,1442.52,2025-10-28
RTL_00001,POS_f67afb323913,SY_SCO_250EC,Score 250 EC,3,815.65,2025-11-02
RTL_00001,POS_46fc14520afa,SY_AXI_50EC,Axial 50 EC,13,681.48,2025-11-16
RTL_00001,POS_79476e11d1c6,SY_AXI_50EC,Axial 50 EC,5,1266.47,2025-11-24
RTL_00001,POS_10b51df36958,SY_SCO_250EC,Score 250 EC,6,2161.08,2025-12-01
RTL_00001,POS_354338ba6cf2,SY_AXI_50EC,Axial 50 EC,18,1203.07,2025-12-04
RTL_00001,POS_6dd924560f43,SY_SCO_250EC,Score 250 EC,4,1419.8,2025-12-12
RTL_00001,POS_e9ab1fded98e,SY_SCO_250EC,Score 250 EC,4,670.87,2025-12-13
RTL_00001,POS_a627c5cb8111,SY_SCO_250EC,Score 250 EC,1,1955.62,2025-12-16
RTL_00001,POS_d3bd04a032f9,SY_SCO_250EC,Score 250 EC,1,2078.73,2025-12-16
RTL_00001,POS_5505e9b4d4ee,SY_SCO_250EC,Score 250 EC,1,517.22,2025-12-15
RTL_00001,POS_decc6bd42f4d,SY_AXI_50EC,Axial 50 EC,13,428.88,2025-12-20
RTL_00001,POS_479f633ad034,SY_TILT_250EC,Tilt 250 EC,1,1228.08,2025-12-26
RTL_00001,POS_de16034eb4f3,SY_TILT_250EC,Tilt 250 EC,1,546.14,2025-12-27
RTL_00001,POS_ddba68f4bf98,SY_AXI_50EC,Axial 50 EC,3,551.79,2025-12-24
RTL_00001,POS_cb99802f7bc0,SY_AXI_50EC,Axial 50 EC,1,423.88,2025-12-27
RTL_00001,POS_d59de3c019cd,SY_TILT_250EC,Tilt 250 EC,9,1953.95,2026-01-02
RTL_00001,POS_8c5821c2f153,SY_TILT_250EC,Tilt 250 EC,6,661.72,2026-01-01
RTL_00001,POS_8b9502715bfc,SY_TILT_250EC,Tilt 250 EC,3,2197.26,2025-12-29
RTL_00001,POS_c9dbf8c78715,SY_TILT_250EC,Tilt 250 EC,5,1029.09,2026-01-09
RTL_00001,POS_984cc60b5ffe,SY_AXI_50EC,Axial 50 EC,129,777.18,2026-01-10
RTL_00001,POS_5afd58d42431,SY_TILT_250EC,Tilt 250 EC,3,1161.38,2026-01-18
RTL_00001,POS_587a7788750c,SY_SCO_250EC,Score 250 EC,19,1860.95,2026-01-19
RTL_00001,POS_1de38a3663f2,SY_AXI_50EC,Axial 50 EC,3,1694.08,2026-01-23
RTL_00001,POS_aec8542b9213,SY_AXI_50EC,Axial 50 EC,5,751.09,2026-01-21
RTL_00001,POS_16944a92c0b9,SY_TILT_250EC,Tilt 250 EC,6,1227.39,2026-01-28
RTL_00001,POS_c779dce479d6,SY_SCO_250EC,Score 250 EC,7,1134.37,2026-01-30
RTL_00001,POS_a0b32048f55d,SY_SCO_250EC,Score 250 EC,11,2183.47,2026-02-01
RTL_00001,POS_b35fbc977cb5,SY_AXI_50EC,Axial 50 EC,8,442.84,2026-01-27
RTL_00001,POS_67aca12e851e,SY_AXI_50EC,Axial 50 EC,4,885.22,2026-01-31
RTL_00001,POS_2b9a20812139,SY_TILT_250EC,Tilt 250 EC,3,1637.57,2026-02-02
RTL_00001,POS_9e4613bf0138,SY_TILT_250EC,Tilt 250 EC,1,1646.49,2026-02-02
RTL_00001,POS_5774388848dd,SY_TILT_250EC,Tilt 250 EC,1,2178.99,2026-02-05
RTL_00001,POS_92517cb8a81d,SY_SCO_250EC,Score 250 EC,2,560.77,2026-02-04
RTL_00001,POS_5ed733c9f43f,SY_SCO_250EC,Score 250 EC,5,484.05,2026-02-06
RTL_00001,POS_96849e7cfa8e,SY_TILT_250EC,Tilt 250 EC,56,1027.44,2026-02-09
RTL_00001,POS_1a12cc387a1e,SY_SCO_250EC,Score 250 EC,1,840.52,2026-02-22
RTL_00001,POS_c20c58bb642f,SY_SCO_250EC,Score 250 EC,1,836.84,2026-02-20
RTL_00001,POS_43c6a7fb3964,SY_AXI_50EC,Axial 50 EC,15,894.46,2026-02-17
RTL_00001,POS_366da2d89d5f,SY_SCO_250EC,Score 250 EC,1,1209.98,2026-02-25
RTL_00001,POS_38ceb81b71f4,SY_TILT_250EC,Tilt 250 EC,2,637.79,2026-03-03
RTL_00001,POS_a4f7c3f0d102,SY_TILT_250EC,Tilt 250 EC,2,1189.51,2026-03-04
RTL_00001,POS_b7a0fcd2de77,SY_SCO_250EC,Score 250 EC,14,1568.24,2026-03-05
RTL_00001,POS_f513d0920c78,SY_AXI_50EC,Axial 50 EC,8,1251.09,2026-03-03
RTL_00001,POS_705783066943,SY_TILT_250EC,Tilt 250 EC,2,1536.58,2026-03-15
