retailer_id,sku_id,sku_name,sku_qty,week_end_date
RTL_00001,SY_TILT_250EC,Tilt 250 EC,94,2025-10-05
RTL_00001,SY_SCO_250EC,Score 250 EC,122,2025-10-05
RTL_00001,SY_AXI_50EC,Axial 50 EC,193,2025-10-05
RTL_00001,SY_TILT_250EC,Tilt 250 EC,94,2025-10-12
RTL_00001,SY_SCO_250EC,Score 250 EC,41,2025-10-12
RTL_00001,SY_AXI_50EC,Axial 50 EC,193,2025-10-12
RTL_00001,SY_TILT_250EC,Tilt 250 EC,94,2025-10-19
RTL_00001,SY_SCO_250EC,Score 250 EC,38,2025-10-19
RTL_00001,SY_AXI_50EC,Axial 50 EC,190,2025-10-19
RTL_00001,SY_TILT_250EC,Tilt 250 EC,94,2025-10-26
RTL_00001,SY_SCO_250EC,Score 250 EC,20,2025-10-26
RTL_00001,SY_AXI_50EC,Axial 50 EC,183,2025-10-26
RTL_00001,SY_TILT_250EC,Tilt 250 EC,87,2025-11-02
RTL_00001,SY_SCO_250EC,Score 250 EC,17,2025-11-02
RTL_00001,SY_AXI_50EC,Axial 50 EC,183,2025-11-02
RTL_00001,SY_TILT_250EC,Tilt 250 EC,87,2025-11-09
RTL_00001,SY_SCO_250EC,Score 250 EC,17,2025-11-09
RTL_00001,SY_AXI_50EC,Axial 50 EC,183,2025-11-09
RTL_00001,SY_TILT_250EC,Tilt 250 EC,87,2025-11-16
RTL_00001,SY_SCO_250EC,Score 250 EC,17,2025-11-16
RTL_00001,SY_AXI_50EC,Axial 50 EC,170,2025-11-16
RTL_00001,SY_TILT_250EC,Tilt 250 EC,87,2025-11-23
RTL_00001,SY_SCO_250EC,Score 250 EC,81,2025-11-23
RTL_00001,SY_AXI_50EC,Axial 50 EC,170,2025-11-23
RTL_00001,SY_TILT_250EC,Tilt 250 EC,87,2025-11-30
RTL_00001,SY_SCO_250EC,Score 250 EC,81,2025-11-30
RTL_00001,SY_AXI_50EC,Axial 50 EC,165,2025-11-30
RTL_00001,SY_TILT_250EC,Tilt 250 EC,131,2025-12-07
RTL_00001,SY_SCO_250EC,Score 250 EC,75,2025-12-07
RTL_00001,SY_AXI_50EC,Axial 50 EC,147,2025-12-07
RTL_00001,SY_TILT_250EC,Tilt 250 EC,131,2025-12-14
RTL_00001,SY_SCO_250EC,Score 250 EC,67,2025-12-14
RTL_00001,SY_AXI_50EC,Axial 50 EC,147,2025-12-14
RTL_00001,SY_TILT_250EC,Tilt 250 EC,131,2025-12-21
RTL_00001,SY_SCO_250EC,Score 250 EC,64,2025-12-21
